applicant_id,age,score,monthly_income,dti,late_payments,risk_grade,recommendation,age_group
A0000,60,570,18129.35,9.32,4,C,REVIEW,51-60
A0001,50,385,17249.5,14.31,1,D,DENY,41-50
A0002,36,445,7672.65,35.01,0,D,REVIEW,31-40
A0003,64,836,6972.27,15.98,1,A,APPROVE,61-70
A0004,29,467,19669.76,29.99,4,D,REVIEW,18-30
A0005,42,842,11490.77,8.25,0,A,APPROVE,41-50
A0006,60,436,18315.58,23.09,3,D,REVIEW,51-60
A0007,40,729,4949.86,34.56,2,B,APPROVE,31-40
A0008,44,751,13570.74,32.46,0,B,APPROVE,41-50
A0009,32,220,16577.48,37.6,4,E,DENY,31-40
A0010,32,936,19053.11,40.1,0,A,APPROVE,31-40
A0011,45,719,8072.12,35.93,1,B,APPROVE,41-50
A0012,57,299,15049.66,31.86,0,E,DENY,51-60
A0013,61,677,11698.63,6.27,3,B,APPROVE,61-70
A0014,45,798,3091.32,26.4,0,B,APPROVE,41-50
A0015,24,497,14420.0,6.51,2,D,REVIEW,18-30
A0016,43,725,14421.74,37.32,0,B,APPROVE,41-50
A0017,23,533,18750.92,17.83,1,C,REVIEW,18-30
A0018,45,201,10951.62,27.5,0,E,DENY,41-50
A0019,65,574,6144.52,16.18,3,C,REVIEW,61-70
A0020,51,492,2802.15,36.3,4,D,REVIEW,51-60
A0021,59,752,9481.56,40.46,0,B,APPROVE,51-60
A0022,23,517,7434.5,20.95,0,C,REVIEW,18-30
A0023,42,701,15699.59,39.52,2,B,APPROVE,41-50
A0024,54,580,8376.82,15.68,3,C,REVIEW,51-60
A0025,33,822,19083.28,26.39,4,A,APPROVE,31-40
A0026,43,213,19321.58,39.35,1,E,DENY,41-50
A0027,65,703,13176.35,18.04,0,B,APPROVE,61-70
A0028,46,430,18715.89,43.16,4,D,REVIEW,41-50
A0029,48,283,15695.38,9.88,1,E,DENY,41-50
A0030,63,329,11843.47,5.73,3,E,DENY,61-70
A0031,49,942,5245.54,41.17,3,A,APPROVE,41-50
A0032,37,344,10254.76,7.75,4,E,DENY,31-40
A0033,36,227,12095.74,44.68,1,E,DENY,31-40
A0034,68,265,17551.31,43.06,3,E,DENY,61-70
A0035,65,362,10664.0,10.48,4,D,DENY,61-70
A0036,24,428,18158.14,26.5,3,D,REVIEW,18-30
A0037,58,460,14138.28,12.4,3,D,REVIEW,51-60
A0038,28,648,4465.98,22.13,3,C,REVIEW,18-30
A0039,42,623,19909.66,7.46,2,C,REVIEW,41-50
A0040,30,659,11490.19,13.96,1,B,APPROVE,18-30
A0041,60,875,9053.45,19.53,4,A,APPROVE,51-60
A0042,39,500,13864.05,22.55,4,C,REVIEW,31-40
A0043,25,502,3960.08,44.1,1,C,REVIEW,18-30
A0044,46,486,13457.7,37.31,1,D,REVIEW,41-50
A0045,35,594,10968.25,34.5,1,C,REVIEW,31-40
A0046,30,209,9320.13,26.48,1,E,DENY,18-30
A0047,47,906,19154.36,38.6,0,A,APPROVE,41-50
A0048,23,829,11405.71,18.57,4,A,APPROVE,18-30
A0049,41,469,5944.11,33.36,0,D,REVIEW,41-50
A0050,49,791,10261.34,44.75,3,B,APPROVE,41-50
A0051,68,804,18548.97,17.59,3,A,APPROVE,61-70
A0052,28,560,5169.72,31.96,4,C,REVIEW,18-30
A0053,65,456,5851.23,38.77,3,D,REVIEW,61-70
A0054,29,332,2234.53,41.63,1,E,DENY,18-30
A0055,68,475,2255.42,33.72,0,D,REVIEW,61-70
A0056,56,882,16929.05,16.34,1,A,APPROVE,51-60
A0057,35,712,15178.21,18.05,3,B,APPROVE,31-40
A0058,38,512,8390.74,5.83,0,C,REVIEW,31-40
A0059,57,775,14569.6,35.44,1,B,APPROVE,51-60
A0060,61,483,9113.71,6.71,4,D,REVIEW,61-70
A0061,25,320,19152.14,39.59,1,E,DENY,18-30
A0062,23,306,19406.95,9.75,3,E,DENY,18-30
A0063,27,886,9070.29,11.88,0,A,APPROVE,18-30
A0064,63,403,17375.99,24.06,4,D,REVIEW,61-70
A0065,25,364,15915.6,34.52,0,D,DENY,18-30
A0066,50,504,7580.0,10.56,4,C,REVIEW,41-50
A0067,39,696,6176.72,22.6,0,B,APPROVE,31-40
A0068,47,831,10248.22,24.31,3,A,APPROVE,41-50
A0069,65,755,16064.28,13.49,4,B,APPROVE,61-70
A0070,55,355,19283.02,9.62,2,D,DENY,51-60
A0071,31,566,15744.42,38.46,0,C,REVIEW,31-40
A0072,57,918,17393.73,25.1,0,A,APPROVE,51-60
A0073,35,819,12855.16,5.58,1,A,APPROVE,31-40
A0074,52,450,17037.34,37.12,4,D,REVIEW,51-60
A0075,69,533,16119.58,44.23,2,C,REVIEW,61-70
A0076,36,841,8785.74,29.24,3,A,APPROVE,31-40
A0077,29,710,11935.83,25.15,1,B,APPROVE,18-30
A0078,35,492,16485.56,40.14,2,D,REVIEW,31-40
A0079,44,219,2829.02,43.1,4,E,DENY,41-50
A0080,61,481,16545.43,35.18,2,D,REVIEW,61-70
A0081,42,200,5201.99,22.82,0,E,DENY,41-50
A0082,37,318,11264.31,28.69,0,E,DENY,31-40
A0083,66,234,16548.96,33.04,1,E,DENY,61-70
A0084,39,397,6568.78,12.77,4,D,DENY,31-40
A0085,68,684,6424.53,22.89,4,B,APPROVE,61-70
A0086,45,258,9249.76,38.19,2,E,DENY,41-50
A0087,47,360,18103.57,31.19,1,D,DENY,41-50
A0088,46,890,2007.97,21.45,4,A,APPROVE,41-50
A0089,66,405,18224.9,31.53,0,D,REVIEW,61-70
A0090,62,211,4768.53,9.73,2,E,DENY,61-70
A0091,50,689,19821.55,21.06,3,B,APPROVE,41-50
A0092,36,475,19187.25,36.73,0,D,REVIEW,31-40
A0093,66,892,10904.15,13.82,1,A,APPROVE,61-70
A0094,22,441,11228.96,12.44,4,D,REVIEW,18-30
A0095,46,415,10667.89,43.03,0,D,REVIEW,41-50
A0096,28,450,13437.99,13.4,3,D,REVIEW,18-30
A0097,30,325,3632.99,15.44,3,E,DENY,18-30
A0098,45,416,2587.12,43.78,1,D,REVIEW,41-50
A0099,22,505,3038.65,34.39,0,C,REVIEW,18-30
A0100,65,384,9998.58,32.98,2,D,DENY,61-70
A0101,29,238,6959.86,39.12,0,E,DENY,18-30
A0102,45,422,13196.71,9.63,3,D,REVIEW,41-50
A0103,32,383,19863.96,33.24,1,D,DENY,31-40
A0104,38,694,8953.82,25.15,1,B,APPROVE,31-40
A0105,29,626,12329.14,38.17,2,C,REVIEW,18-30
A0106,56,377,9480.87,25.33,1,D,DENY,51-60
A0107,56,627,17250.89,29.81,1,C,REVIEW,51-60
A0108,54,493,18240.26,24.11,1,D,REVIEW,51-60
A0109,26,350,17792.4,24.13,1,D,DENY,18-30
A0110,63,583,19538.7,35.72,1,C,REVIEW,61-70
A0111,60,837,2495.35,30.14,3,A,APPROVE,51-60
A0112,62,507,17116.69,30.33,0,C,REVIEW,61-70
A0113,49,535,15531.9,23.01,4,C,REVIEW,41-50
A0114,28,945,6116.5,26.24,1,A,APPROVE,18-30
A0115,30,574,19213.76,34.83,4,C,REVIEW,18-30
A0116,29,207,4667.2,38.04,4,E,DENY,18-30
A0117,33,540,14231.9,32.86,3,C,REVIEW,31-40
A0118,55,328,6048.02,41.96,1,E,DENY,51-60
A0119,54,868,9764.85,37.81,4,A,APPROVE,51-60
A0120,69,551,14944.88,27.47,1,C,REVIEW,61-70
A0121,44,557,12139.84,31.86,2,C,REVIEW,41-50
A0122,45,716,9695.03,42.05,2,B,APPROVE,41-50
A0123,58,694,7874.09,29.77,2,B,APPROVE,51-60
A0124,56,285,17113.87,37.99,4,E,DENY,51-60
A0125,65,374,4588.66,32.55,2,D,DENY,61-70
A0126,61,392,9741.85,27.08,3,D,DENY,61-70
A0127,43,510,18267.64,14.67,3,C,REVIEW,41-50
A0128,48,318,17225.29,22.04,4,E,DENY,41-50
A0129,56,417,9216.95,43.71,1,D,REVIEW,51-60
A0130,22,626,15735.95,31.31,0,C,REVIEW,18-30
A0131,56,613,16816.89,27.58,1,C,REVIEW,51-60
A0132,58,313,17999.97,42.32,1,E,DENY,51-60
A0133,68,344,11801.1,28.46,1,E,DENY,61-70
A0134,35,737,5680.3,26.04,1,B,APPROVE,31-40
A0135,24,847,6595.56,35.37,0,A,APPROVE,18-30
A0136,22,502,7322.5,33.51,2,C,REVIEW,18-30
A0137,26,943,12688.44,12.73,1,A,APPROVE,18-30
A0138,47,787,2590.57,23.85,3,B,APPROVE,41-50
A0139,35,544,13448.76,23.9,4,C,REVIEW,31-40
A0140,60,200,8558.38,20.13,4,E,DENY,51-60
A0141,48,346,7314.35,25.69,3,E,DENY,41-50
A0142,30,486,17830.94,21.52,1,D,REVIEW,18-30
A0143,36,853,10280.04,12.97,0,A,APPROVE,31-40
A0144,36,252,3710.95,21.49,2,E,DENY,31-40
A0145,47,503,16881.44,7.89,4,C,REVIEW,41-50
A0146,63,268,2857.54,28.03,2,E,DENY,61-70
A0147,34,560,15081.49,39.15,0,C,REVIEW,31-40
A0148,53,801,15930.31,34.01,4,A,APPROVE,51-60
A0149,60,419,8346.85,19.42,2,D,REVIEW,51-60
A0150,53,903,16846.18,8.48,0,A,APPROVE,51-60
A0151,25,774,11281.87,13.09,2,B,APPROVE,18-30
A0152,51,784,10339.29,26.82,1,B,APPROVE,51-60
A0153,58,360,2817.26,13.28,0,D,DENY,51-60
A0154,44,880,7220.53,26.76,2,A,APPROVE,41-50
A0155,60,288,18758.18,14.26,1,E,DENY,51-60
A0156,66,887,9052.83,38.96,1,A,APPROVE,61-70
A0157,36,784,11840.61,20.89,0,B,APPROVE,31-40
A0158,64,788,11576.39,14.82,3,B,APPROVE,61-70
A0159,50,358,12627.76,37.49,4,D,DENY,41-50
A0160,57,688,3103.96,18.71,0,B,APPROVE,51-60
A0161,34,523,8519.17,9.46,1,C,REVIEW,31-40
A0162,53,809,15016.31,27.82,1,A,APPROVE,51-60
A0163,28,580,5610.08,28.26,0,C,REVIEW,18-30
